Date,Open,High,Low,Close,Volume,Change
02-Aug-24,"77,946.16","78,434.16","77,926.53","78,225.98","203,289,387",485.68
01-Aug-24,"78,101.16","78,241.02","77,595.92","77,740.30","97,011,676",-146.68
31-Jul-24,"78,725.96","79,151.81","77,810.16","77,886.98","112,542,528",-741.82
30-Jul-24,"79,319.20","79,327.04","78,518.23","78,628.80","143,371,373",-198.94
29-Jul-24,"78,023.89","79,055.99","78,016.29","78,827.74","135,177,284",798.24
26-Jul-24,"78,440.36","78,569.88","77,921.47","78,029.50","116,859,785",-439.83
25-Jul-24,"79,568.48","79,776.95","78,330.58","78,469.33","129,010,674",-927.67
24-Jul-24,"79,194.74","79,704.36","79,071.48","79,397.00","102,935,402",409.91
23-Jul-24,"78,700.25","79,585.34","78,634.15","78,987.09","137,602,553",447.91
22-Jul-24,"79,920.23","80,085.63","78,404.76","78,539.18","201,001,223","-1,578.71"
19-Jul-24,"81,921.71","81,939.83","79,812.69","80,117.89","246,330,407","-1,721.97"
18-Jul-24,"81,418.12","81,909.94","81,418.11","81,839.86","238,793,531",684.26
15-Jul-24,"80,743.46","81,428.43","80,743.46","81,155.60","219,582,625","1,211.51"
12-Jul-24,"80,094.69","80,321.68","78,611.68","79,944.09","217,955,240",-48.26
11-Jul-24,"79,884.02","80,114.72","79,708.87","79,992.35","154,186,340",150.8
10-Jul-24,"80,885.06","80,971.95","79,841.32","79,841.55","230,879,301",-830.51
09-Jul-24,"80,752.94","81,087.42","80,530.85","80,672.06","309,330,333",105.86
08-Jul-24,"80,332.79","80,737.70","80,192.31","80,566.20","138,374,084",353.41
05-Jul-24,"80,427.84","80,627.49","80,080.25","80,212.79","210,920,436",-70.01
04-Jul-24,"80,438.84","80,888.86","80,134.89","80,282.80","229,012,241",49.13
03-Jul-24,"79,697.25","80,405.23","79,697.25","80,233.67","280,091,033",680.79
02-Jul-24,"78,978.55","79,740.35","78,978.54","79,552.88","192,738,740",728.55
01-Jul-24,"78,531.93","79,536.22","78,427.79","78,824.33","163,286,438",379.37
28-Jun-24,"78,698.47","78,784.23","78,312.36","78,444.96","205,930,861",-83.29
27-Jun-24,"78,470.34","78,978.60","78,294.22","78,528.25","137,790,290",252.61
26-Jun-24,"77,968.91","78,679.49","77,968.90","78,275.64","219,556,647",335.06
25-Jun-24,"78,297.40","78,541.21","77,908.98","77,940.58","130,431,326",-291.51
24-Jun-24,"79,247.15","79,388.11","78,167.43","78,232.09","148,576,888",-578.4
21-Jun-24,"79,156.52","80,059.87","78,169.02","78,810.49","207,358,795",8.96
20-Jun-24,"76,896.82","78,890.37","76,896.81","78,801.53","211,587,860","2,094.76"
14-Jun-24,"76,555.91","77,310.45","76,103.56","76,706.77","212,258,377",498.61
13-Jun-24,"73,329.80","76,338.14","73,329.79","76,208.16","344,982,490","3,410.73"
12-Jun-24,"72,545.24","73,169.00","72,464.24","72,797.43","106,573,282",207.94
11-Jun-24,"73,779.99","73,866.44","72,476.05","72,589.49","142,282,731",-663.07
10-Jun-24,"73,841.92","73,915.45","72,981.34","73,252.56","89,516,331",-501.45
07-Jun-24,"73,805.95","73,902.78","71,781.96","73,754.01","208,556,823",-108.92
06-Jun-24,"74,276.84","74,593.32","73,768.39","73,862.93","112,794,549",-356.5
05-Jun-24,"74,672.38","74,758.11","74,136.52","74,219.43","138,772,301",-447.22
04-Jun-24,"75,657.68","75,669.76","74,592.74","74,666.65","179,207,660",-908.6
03-Jun-24,"76,091.42","76,209.96","75,495.38","75,575.25","190,984,190",-303.22
31-May-24,"75,078.43","75,953.74","74,989.26","75,878.47","243,276,419","1,000.35"
30-May-24,"74,986.02","75,300.03","74,585.35","74,878.12","175,803,745",41.82
29-May-24,"75,617.79","75,667.30","74,760.10","74,836.30","192,226,303",-681.18
27-May-24,"76,089.66","76,187.44","75,485.62","75,517.48","195,296,629",-465.55
24-May-24,"75,266.61","76,248.75","75,263.05","75,983.03","310,418,114",868.56
23-May-24,"74,982.16","75,284.74","74,726.06","75,114.47","336,883,972",157.8
22-May-24,"75,246.33","75,513.89","74,835.48","74,956.67","183,367,088",-250.1
21-May-24,"75,158.68","75,482.46","74,958.09","75,206.77","159,509,646",122.77
20-May-24,"75,454.97","75,618.49","74,734.24","75,084.00","141,358,802",-258.34
17-May-24,"74,981.29","75,401.11","74,947.71","75,342.34","188,724,737",411.65
16-May-24,"74,744.65","75,029.03","74,450.25","74,930.69","170,467,012",266.71
15-May-24,"74,779.84","75,115.32","74,440.87","74,663.98","251,456,212",132.79
14-May-24,"74,022.18","74,575.30","73,977.00","74,531.19","257,367,216",732.08
13-May-24,"73,315.02","74,114.22","73,109.76","73,799.11","308,961,397",713.61
10-May-24,"72,888.93","73,449.37","72,876.83","73,085.50","320,498,215",427.45
09-May-24,"72,819.48","72,889.78","72,889.78","72,658.05","235,199,535",56.24
08-May-24,"73,079.18","73,079.18","72,358.19","72,601.81","254,873,342",-159.38
07-May-24,"73,062.52","73,260.08","72,707.95","72,761.19","269,925,733",-3.05
06-May-24,"72,485.86","73,060.74","72,462.49","72,764.24","313,376,780",862.15
